theta,a,b,status
10.0,6.9,7.1,NotYet
10.0,3.8,13.1,NotYet
20.0,7.4,6.6,NotYet
20.0,3.9,12.6,NotYet
25.0,7.8,6.3,NotYet
25.0,4.0,12.3,NotYet
30.0,8.2,6.0,NotYet
30.0,4.1,11.9,NotYet
35.0,8.9,5.6,NotYet
35.0,4.4,11.2,NotYet
40.0,9.6,5.3,NotYet
40.0,4.6,10.7,NotYet
45.0,10.5,4.9,NotYet
45.0,4.9,10.1,NotYet
50.0,11.4,4.6,NotYet
50.0,5.2,9.5,NotYet
55.0,12.1,4.3,NotYet
55.0,5.5,8.9,NotYet
60.0,12.7,4.1,NotYet
60.0,5.9,8.3,NotYet
65.0,13.2,4.0,NotYet
65.0,6.3,7.8,NotYet
70.0,13.6,3.9,NotYet
70.0,6.6,7.4,NotYet
80.0,14.1,3.7,NotYet
80.0,7.1,7.0,NotYet
