cx,cy,cz,a,b,theta,Rt,Rp,status
1.7,-1,16,7.2,6,25,-0.2,-0.6,InProgress
1.7,-0.9,16,7.2,6,25,-0.2,-0.6,InProgress
1.6,-0.8,15.9,7.2,6,25,-0.2,-0.6,InProgress
1.6,-0.7,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.6,-0.6,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.6,-0.5,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.6,-0.4,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.6,-0.3,15.9,7.2,6,25,-0.2,-0.6,InProgress
1.7,-0.2,15.9,7.2,6,25,-0.2,-0.6,InProgress
1.7,-0.1,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.7,0,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.7,0.1,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.8,0.2,15.8,7.2,6,25,-0.2,-0.6,InProgress
1.8,0.3,15.7,7.2,6,25,-0.2,-0.6,InProgress
1.8,0.4,15.6,7.2,6,25,-0.2,-0.6,InProgress
1.8,0.5,15.6,7.2,6,25,-0.2,-0.6,InProgress
1.9,0.6,15.6,7.2,6,25,-0.2,-0.6,InProgress
2,0.7,15.7,7.2,6,25,-0.2,-0.6,InProgress
2,0.8,15.8,7.2,6,25,-0.2,-0.6,InProgress
2.1,0.9,15.8,7.2,6,25,-0.2,-0.6,InProgress
2.2,1,15.8,7.2,6,25,-0.2,-0.6,InProgress
