cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.7,-0.8,13.2,7.45,5.75,25,1.7,1.5,0,0,Done
1.6,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,Done
1.6,-0.9,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,Done
1.6,-0.9,13.2,7.4,5.75,25,1.7,1.5,-0.3,-0.9,Done
1.6,-0.9,13.1,7.4,5.75,25,1.7,1.5,-0.4,-1.2,Done
1.6,-1,13.1,7.4,5.75,25,1.7,1.5,-0.5,-1.5,Done
1.6,-1,13.1,7.4,5.75,25,1.7,1.5,-0.6,-1.8,Done
1.6,-1.1,13.1,7.4,5.75,25,1.7,1.5,-0.7,-2.1,Done
1.6,-1.1,13.1,7.4,5.75,25,1.7,1.5,-0.8,-2.4,Done
1.5,-1.1,13.1,7.4,5.75,25,1.7,1.5,-0.9,-2.7,Done
1.5,-1.1,13.1,7.45,5.7,25,1.7,1.5,-1,-3,Done
